artist_name,start_date,end_date,stage,stage_latitude,stage_longitude,day
Andra And The Backbone,9/25/23 9.30 PM,9/25/23 10.15 PM,Hingar Bingar,-6.219256549,106.7995374,1
Tamat,9/25/23 9.50 PM,9/25/23 10.50 PM,Yes No Klub,-6.216075586,106.8018606,1
"Host: Soleh Solihun, Patra Gemala, Marshel Widianto",9/25/23 9.55 PM,9/25/23 10.25 PM,StandupIndo,-6.220444814,106.8046108,1
Milledenials,9/25/23 10.00 PM,9/25/23 10.30 PM,Alternative Stage,-6.220093561,106.7994224,1
Soegi Bornean,9/25/23 10.00 PM,9/25/23 10.45 PM,Riang Gembira,-6.217556546,106.8010231,1
Armada,9/25/23 10.15 PM,9/25/23 11.15 PM,Pestapora IM3,-6.217197051,106.7994883,1
Efek Rumah Kaca x Barasuara,9/25/23 10.25 PM,9/25/23 11.35 PM,Gegap Gempita,-6.219200841,106.8004699,1
The Upstairs,9/25/23 10.30 PM,9/25/23 11.15 PM,Boss Stage,-6.217307514,106.8044678,1
Prontaxan,9/25/23 10.35 PM,9/25/23 11.35 PM,Klab Klub,-6.217429041,106.8025604,1
Kelompok Penerbang Roket ft Eka Annash,9/25/23 10.45 PM,9/25/23 11.30 PM,Hingar Bingar,-6.219256549,106.7995374,1
VT-00,9/25/23 10.45 PM,9/25/23 11.15 PM,Alternative Stage,-6.220093561,106.7994224,1
Nuh Peace,9/25/23 10.50 PM,9/25/23 11.50 PM,Yes No Klub,-6.216075586,106.8018606,1
The Panturas,9/25/23 11.15 PM,9/25/23 12.00 AM,Riang Gembira,-6.217556546,106.8010231,1
FTL Frame,9/25/23 11.20 PM,9/25/23 11.50 PM,Alternative Stage,-6.220093561,106.7994224,1
DJ Yasmin x DJ Una,9/25/23 11.30 PM,9/25/23 1.00 AM,Double Deck,-6.220739096,106.8026153,1
Noah,9/25/23 11.45 PM,9/25/23 12.45 AM,Pestapora IM3,-6.217197051,106.7994883,1
Denny Caknan,9/25/23 11.45 PM,9/25/23 12.45 AM,Boss Stage,-6.217307514,106.8044678,1
Barakatak,9/25/23 11.50 PM,9/25/23 12.00 AM,Klab Klub,-6.217429041,106.8025604,1
Terbujur Kaku,9/25/23 11.50 PM,9/25/23 12.50 AM,Yes No Klub,-6.216075586,106.8018606,1
Maliq & D’essentials,9/27/23 2.15 PM,9/27/23 3.00 PM,Pestapora IM3,-6.217197051,106.7994883,3
Gangstarasta,9/27/23 2.15 PM,9/27/23 3.00 PM,Boss Stage,-6.217307514,106.8044678,3
Pestapora Authenticity Soundroom,9/27/23 2.15 PM,9/27/23 3.00 PM,Riang Gembira,-6.217556546,106.8010231,3
Feby Putri,9/27/23 2.30 PM,9/27/23 3.15 PM,Gegap Gempita,-6.219200841,106.8004699,3
The Senior High School,9/27/23 2.30 PM,9/27/23 3.15 PM,Hingar Bingar,-6.219256549,106.7995374,3
Sunwich,9/27/23 2.50 PM,9/27/23 3.35 PM,Klab Klub,-6.217429041,106.8025604,3
Wahono x Natasha Tontey,9/27/23 3.00 PM,9/27/23 6.50 PM,Yes No Klub,-6.216075586,106.8018606,3
Juicy Luicy,9/27/23 3.30 PM,9/27/23 4.15 PM,Pestapora IM3,-6.217197051,106.7994883,3
Lomba Sihir,9/27/23 3.30 PM,9/27/23 4.15 PM,Boss Stage,-6.217307514,106.8044678,3
Kapal Udara,9/27/23 3.30 PM,9/27/23 4.15 PM,Riang Gembira,-6.217556546,106.8010231,3
Lalahuta,9/27/23 3.45 PM,9/27/23 4.30 PM,Gegap Gempita,-6.219200841,106.8004699,3
Bilal Indrajaya,9/27/23 3.45 PM,9/27/23 4.30 PM,Hingar Bingar,-6.219256549,106.7995374,3
Natinson,9/27/23 3.45 PM,9/27/23 4.15 PM,Alternative Stage,-6.220093561,106.7994224,3
Crayola Eyes,9/27/23 3.55 PM,9/27/23 4.40 PM,Klab Klub,-6.217429041,106.8025604,3
"Host: Adjisdoaibu, Boah Sartika, Abdel Achrian",9/27/23 4.30 PM,9/27/23 5.00 PM,StandupIndo,-6.220444814,106.8046108,3
